22932	Г. В. Адамович	«Холодно. Низкие кручи...»	Д3	3	2	Господи!  И умирая,\nЧерез полвека, едва ль\nЭтого мертвого края\nЯ позабуду печаль.
24201	И. Ф. Анненский	Киевские пещеры, «Тают зеленые свечи...»	Д3	4	0	Тают зеленые свечи,\nТускло мерцает кадило,\nЧто-то по самые плечи\nВ землю сейчас уходило,
24208	И. Ф. Анненский	Пробуждение, «Кончилась яркая чара...»	Д3	4	3	Жребий, о сердце, твой понят ―\nСтарого пепла не тронь…\nБольше проклятый огонь\nСтен твоих черных не тронет!
24433	П. Г. Антокольский	Актриса, «Слушал я детский твой голос...»	Д3	5	3	Помнишь?  Театра младого\nМрачно разубран чертог.\nКончилось.  Значит, мы дома.\nДождь разделил нас чертой.
25346	Н. Н. Асеев	«Вот и кончается лето...»	Д3	2	1	Но ― темноте неподвластны,\nсолнца впитавши лучи, ―\nбудем по-прежнему ясны,\nискренни и горячи!
27303	А. А. Ахматова	«Вечер тот казни достоин...»	Д3	5	3	«Сам я не знаю, что сталось,\nК гибели, что ли, иду?\nВедь как ребенок металась\nПередо мною в бреду.
28698	К. Д. Бальмонт	Линии света, «Длинные линии света...»	Д3	5	1	Волны, лелея, сплетают\nСветлые пряди руна.\nХлопья плывут ― и растают,\nНовая встанет волна.
28783	К. Д. Бальмонт	Трудно Фее, ««Фея», -- шепнули сирени...»	Д3	2	1	«Фея», ― сквозя изумрудно,\nТравки промолвила нить.\nФея вздохнула: «Как трудно!\nВсех-то должна я любить».
29157	Ю. К. Балтрушайтис	Колокол, «Высился, в славе созвучий...»	Д3	5	3	Но, раздаваясь все строже,\nЧаса тоскующий крик\nОтзвуком суетной дрожи\nВ вечное пенье проник…
29167	Ю. К. Балтрушайтис	Кормчий, «В ярости бурь, в океане...»	Д3	6	3	Только в смятении диком\nВскинутых к небу валов\nЧудится, слитый с их криком,\nХохот проклятья без слов,
29189	Ю. К. Балтрушайтис	Вечерняя песня, «Входит под сирую кровлю...»	Д3	5	4	Радостен детский мой лепет\nБогу, представшему вдруг…\nВесь я ― молитвенный трепет\nК звездам протянутых рук!
29195	Ю. К. Балтрушайтис	Приближение, «Все мы с проклятием бродим...»	Д3	5	3	Чада земного распутья,\nВ час, расторгающий сон,\nАлчно скрепляем мы прутья\nВ ржавой ограде времен…
29323	Ю. К. Балтрушайтис	Привет родине, «Прахом распались оковы...»	Д3	3	2	Трижды Бог помочь державе ―\nРодине в пору забот…\nЦарствуй в величьи и славе,\nРусский свободный народ!
29788	Н. Н. Белоцветов	«Ветер гуляет по миру...»	Д3	3	2	Ветер, внимающий жадно\nПесням мирской суеты,\nВетер, как ты, безотрадный,\nВетер, бездомный, как ты…
30354	Андрей Белый	Асе, «Те же -- приречные мрежи...»	Д3	6	4	Бегом развернутых крылий\nСтала крылатая кровь:\nДавние, давние были\nПриоткрываются вновь.
31460	А. А. Блок	«Ветер принес издалёка...»	Д3	3	2	Робко, темно и глубоко\nПлакали струны мои.\nВетер принес издалёка\nЗвучные песни твои.
31601	А. А. Блок	«В городе колокол бился...»	Д3	3	1	Слушая зов иноверца,\nПоздними днями дыша,\nБилось по-прежнему сердце,\nНе изменялась душа.
31650	А. А. Блок	«-- Всё ли спокойно в народе?..»	Д3	5	0	Всё ли спокойно в народе?\n― Нет.  Император убит.\nКто-то о новой свободе\nНа площадях говорит.
31739	А. А. Блок	«Мчит меня мертвая сила...»	Д3	3	0	Мчит меня мертвая сила,\nМчит по стальному пути.\nНебо уныньем затмило,\nВ сердце ― твой голос: «Прости».
31985	А. А. Блок	Посвящение, «Встали надежды пророка ...»	Д3	3	1	Но за туманами сладко\nЧуется близкий рассвет.\nМне ― мировая разгадка\nЭтот безбрежный поэт.
32154	А. А. Блок	«Нежный! У ласковой речки...»	Д3	6	3	Люди придут и растратят\nЗолоторунную тишь.\nТяжкие камни прикатят,\nНежный растопчат камыш.
32988	В. Я. Брюсов	«Звон отдаленный, пасхальный...»	Д3	2	0	Звон отдаленный, пасхальный,\nСлышу сквозь завесу дней.\nТихо бреду я, печальный,\nВ мире вечерних теней.
33085	В. Я. Брюсов	«Небо чернело с огнями...»	Д3	2	0	Небо чернело с огнями,\nМоре чернело без звезд.\nПлотно обложен камнями\nБыл изогнутый объезд.
33091	В. Я. Брюсов	«Море -- в бессильном покое...»	Д3	2	0	Море ― в бессильном покое,\nОбраз движенья исчез.\nМоре ― как будто литое\nЗеркало ясных небес.
33107	В. Я. Брюсов	«Церкви, великие грани...»	Д3	2	1	Цепью застывших строений\nСкованы думы и сны.\nВ городе вы ― словно тени\nТихо встающей весны.
33114	В. Я. Брюсов	«Звезды тихонько шептались...»	Д3	2	0	Звезды тихонько шептались,\nЗвезды смотрели на нас.\nМилая, верь мне, ― в тот час\nЗвезды над нами смеялись.
33125	В. Я. Брюсов	«Звезды закрыли ресницы...»	Д3	3	1	Кто-то во мраке тоскует,\nЧьи-то рыданья звучат;\nПамять былое рисует,\nВ сердце ― насмешка и яд.
33142	В. Я. Брюсов	Фея фонтанов, «Ты, моя фея фонтанов...»	Д3	5	0	Ты, моя фея фонтанов,\nФея журчащих ручьев,\nТы из летучих туманов\nВестником вышла на зов.
33430	В. Я. Брюсов	Февраль, «Свежей и светлой прохладой...»	Д3	4	2	Нет, не укор, не предвестье\nЭти святые часы!\nТихо пришли в равновесье\nЗыбкого сердца весы.
33566	В. Я. Брюсов	Одна, «Нет мне в молитве отрады...»	Д3	6	4	Сжалься, отец правосудный,\nДай утешенье в тоске…\nВ лунных лучах изумрудный\nЛуг опускался в реке.
33580	В. Я. Брюсов	Летняя гроза, «Синие, чистые дали...»	Д3	5	0	Синие, чистые дали\nМежду зеленых ветвей\nБело-молочными стали…\nВетер играет смелей.
33698	В. Я. Брюсов	«Тонкой, но частою сеткой...»	Д3	3	0	Тонкой, но частою сеткой\nЗавтрашний день отделен.\nМир так ничтожен, и редко\nВиден нам весь небосклон.
34255	В. Я. Брюсов	Кучи свезенного снега, «Кучи свезенного снега...»	Д3	8	2	Прежним беспечным мальчишкой\nЯ пробираюсь домой,\nРанец сжимаю под мышкой,\nШлепаю в воду ногой.
34305	В. Я. Брюсов	«Речи несмелых признаний...»	Д3	3	0	Речи несмелых признаний,\nТихие речи любви ―\nСмысл их неясен и странен,\nТайна их ― тайна души.
34428	В. Я. Брюсов	«Зыблются полосы света...»	Д3	5	3	Ты, неживого канала\nЧерная, злая вода, ―\nКак ты дробишься устало,\nСжата в гранит навсегда!
34578	В. Я. Брюсов	«Краткими складками взморщи...»	Д3	7	2	Ветер, ― припомни, ― пьянели\nВместе мы в снах миндалей,\nТы на лету пел не мне ли:\n«Первую кручь одолей!»
35598	И. А. Бунин	По теченью, «Девушка, что ты чертила...»	Д3	2	0	«Девушка, что ты чертила\nЗонтиком в светлой реке?»\nДевушка зонтик раскрыла\nИ прилегла в челноке.
36347	Саша Черный	Жара, «Куцый, курносый и жирный...»	Д3	7	3	Вон он на скатерти липкой,\nГубы развесив, уснул.\nТреплется ветер негибкий,\nС моря ― то шорох, то гул.
36833	Е. И. Дмитриева	«Я -- в истомляющей ссылке...»	Д3	4	0	Я ― в истомляющей ссылке\nВ этих проклятых стенах.\nСиние, нежные жилки\nБьются на бледных руках.
37509	О. А. Скопиченко	«В ветки игольчатой туи...»	Д3	7	2	Нет!  ― ослепительней, лучше\nВ годы изгнанья мечты,\nСнова в напевы созвучий\nВкралось: «Любимая – Ты».
37785	И. В. Чиннов	«Палочка мерно взлетает...»	Д3	4	3	… Или бессмысленно в мире\nВсё ― и впустую трезвон?..\nТак в опустелой квартире\nНочью звонит телефон.
37991	И. В. Чиннов	«В яркой и знойной Флориде...»	Д3	5	4	Как это сделано!  С чувством\nКраски, игры, красоты!\nМожет быть, чистым искусством\nСмеешь увлечься и ты?
38444	М. И. Цветаева	Детский юг, «В каждом случайном объятьи...»	Д3	5	3	Жмутся к холодной щеке\nПохолодевшие губки;\nНежные ручки так хрупки\nВ похолодевшей руке…
38464	М. И. Цветаева	Конец сказки, «“Тает царевна, как свечка...»	Д3	3	0	“Тает царевна, как свечка,\nРуки сложила крестом,\nНа золотое колечко\nГрустно глядит”.  ― “А потом?  ”
38466	М. И. Цветаева	В сонном царстве, «Скрипнуло... В темной кладовке...»	Д3	3	2	Добрые очи Страдальца\nГрустно глядят с высоты.\nДва голубых одеяльца,\nШепот: “Ты спишь»?  ” ― “Нет, а ты?  ”
38492	М. И. Цветаева	Домики старой Москвы, «Слава прабабушек томных...»	Д3	6	4	Домики с знаком породы,\nС видом ее сторожей,\nВас заменили уроды,\nГрузные, в шесть этажей.
38745	М. И. Цветаева	«Запах пшеничного злака...»	Д3	2	0	Запах пшеничного злака,\nВетер, туман и кусты…\nБуду отчаянно плакать ―\nЯ, и подумаешь ― ты,
39260	М. И. Цветаева	Сугробы, «Небо катило сугробы...»	Д3	6	0	Небо катило сугробы\nВалом в полночную муть.\nКак из единой утробы ―\nНебо ― и глыбы ― и грудь.
41334	И. В. Одоевцева	«Угли краснели в камине...»	Д3	4	1	И никогда я не знала,\nЧто у него за дела,\nСам он рассказывал мало,\nСпрашивать я не могла.
41340	И. В. Одоевцева	«В белом дыму паровоза...»	Д3	3	1	Так в этот час расставанья,\nВ час умиранья души\nОн говорил: «До свиданья,\nВедь ненадолго.  Пиши…»
41469	Б. Г. Закович	«Пахло кошатиной, скукой...»	Д3	2	0	Пахло кошатиной, скукой.\nСлышался дождь…  Иногда\nВ кране по-птичьи, но с мукой\nТихо ворчала вода.
41682	Л. А. Алексеева	«Склянки над бухтой знакомой...»	Д3	5	1	Запах полыни, арбуза,\nМоря, смолы и тепла,\nГде босоногая муза\nПервой подругой была.
41728	Л. А. Алексеева	Моей ели, «В памяти горек и крепок...»	Д3	3	0	В памяти горек и крепок ―\nПросто забыть не могу ―\nЗапах оранжевых щепок\nВ сером зернистом снегу.
42667	И. А. Савин	«Пели над окнами клены...»	Д3	6	1	Ночь отгорала.  В гостиной\nНе зажигали огней.\nЗло говорили и длинно\nО прожитом и о ней.
42825	Н. С. Позняков	«Слушайте, вечные степи...»	Д3	5	2	Мчись, порожденье Эола,\nТягостной вестию горд:\nУмер наследник престола\nНаших воинственных орд.
42829	Н. С. Позняков	«Тихие сумерки Ниццы...»	Д3	3	2	В дальних и светлых чертогах,\nТам, где прошедшие сны,\nЖдешь ли меня у порога\nВ сумерках синей весны?
43431	С. А. Есенин	«Сыплет черемуха снегом...»	Д3	4	2	Радугой тайные вести\nСветятся в душу мою.\nДумаю я о невесте,\nТолько о ней лишь пою.
43463	С. А. Есенин	Корова, «Дряхлая, выпали зубы...»	Д3	5	1	Сердце не ласково к шуму,\nМыши скребут в уголке.\nДумает грустную думу\nО белоногом телке.
43491	С. А. Есенин	«Вот оно, глупое счастье...»	Д3	4	2	Где-то за садом, несмело,\nТам, где калина цветет,\nНежная девушка в белом\nНежную песню поет.
43720	С. А. Есенин	«Слушай, поганое сердце...»	Д3	3	1	Рано ли, поздно всажу я\nВ рёбра холодную сталь.\nНет, не могу я стремиться\nВ вечную сгнившую даль.
43730	С. А. Есенин	«Снег, словно мед ноздреватый...»	Д3	6	3	Выпала бабке удача,\nТолько одно невдомек:\nПлохо решает задачи\nВыпитый ветром умок.
44902	Г. В. Иванов	«Начало небо меняться...»	Д3	3	1	И розоватые звезды,\nНа розоватой дали,\nСквозь холодеющий воздух\nЯрче блеснуть не могли.
44952	Г. В. Иванов	«Мертвый проснется в могиле...»	Д3	3	1	И воскресенье унынье!\nСкучное дело ― домой…\nТянет Волынью, полынью,\nТянет сумой и тюрьмой.
45013	Г. В. Иванов	«Стало тревожно-прохладно...»	Д3	2	1	…  С детства знакомое чувство, ―\nЧем бы бессмертье купить,\nКак бы салазки искусства\nК летней грозе прицепить?
45456	В. В. Гофман	«Боже, я твой, я послушен...»	Д3	5	4	Вот он разлитый в эфире,\nВ шири пространств без конца ―\nСон о ликующем мире,\nСон Молодого Творца.
46174	Н. С. Гумилев	Песнь Заратустры, «Юные, светлые братья...»	Д3	4	2	Кольца роскошные мчатся,\nЯрок восторг высоты;\nБудем мы вечно встречаться\nВ вечном блаженстве мечты.
46346	Н. С. Гумилев	Венеция, «Поздно. Гиганты на башне...»	Д3	7	5	Может быть, это лишь шутка,\nСкал и воды колдовство,\nМарево?  Путнику жутко,\nВдруг… никого, ничего?
46397	Н. С. Гумилев	Мужик, «В чащах, в болотах огромных...»	Д3	11	9	«Что ж, православные, жгите\nТруп мой на темном мосту,\nПепел по ветру пустите…\nКто защитит сироту?
47376	Д. Б. Кедрин	Песня о живых и мертвых, «Серы, прохладны и немы...»	Д3	12	5	Наша священная ярость\nМиру порукой дана:\nБудет безоблачна старость,\nМолодость будет ясна.
47968	Н. А. Клюев	«Плещут холодные волны...»	Д3	7	4	Стихло безумное горе,\nУмерло сердце в груди,\nТяжко вздымается море,\nБурю суля впереди.
47998	Н. А. Клюев	«Горние звезды как росы...»	Д3	5	1	Месяц, как лилия, нежен,\nТонок, как профиль лица.\nМир неоглядно безбрежен.\nВысь глубока без конца.
48107	Н. А. Клюев	«Теплятся звезды-лучинки...»	Д3	4	2	Минет пора обмолота,\nПуща развихрит листы, ―\nБудет добычна охота,\nЛоски на стлищах холсты.
48157	Н. А. Клюев	«Бабка тачает заплаты...»	Д3	8	6	Вторя старухиным думам,\nПлещет за ставнею куст:\n«Будет твой внук Аввакумом,\nРечью ж Иван Златоуст».
48164	Н. А. Клюев	«Оттепель -- баба-хозяйка...»	Д3	6	0	Оттепель ― баба-хозяйка,\nЛог ― как белёная печь,\nТучка ― пшеничная сайка\nХочет сытою истечь.
48168	Н. А. Клюев	«Гей, отзовитесь, курганы...»	Д3	10	7	Ждут его сусло, что пенник,\nГребень-шептун перед сном,\nВ бане ж духмянистый веник,\nШайка с резным ободком.
48172	Н. А. Клюев	«Рыжее жнивье -- как книга...»	Д3	7	5	Зыбку, с чепцом одеяльце\nПрочит болезная мать, ―\nЗнай, что кудрявому мальцу\nТятькой по осени стать.
48244	Н. А. Клюев	«Неугасимое пламя...»	Д3	8	1	В совокупленье геенском\nКорчится с отроком бес…\nГласом рыдающе женским\nКличет обугленный лес:
48366	Н. А. Клюев	«Солнце верхом на овине...»	Д3	6	5	В избах и в барках ловецких\nПляска сидонских ковров!..\nТянет от пущ соловецких\nТаборным дымом стихов.
48657	С. А. Клычков	«В жизни всему свои сроки...»	Д3	7	1	Всё по порядку гадалки\nВспомнят, что сам позабыл,\nЧто погубить было жалко\nИ, не губя, погубил…
49909	Е. Л. Кропивницкий	«Долго хромал он, качался...»	Д3	3	1	Он обретет на том свете,\nБог его примет.  И он\nВ летнем сияющем свете\nБудет в земле погребен.
51635	Ю. П. Кузнецов	Бабочка ,  «Вьешься, не зная заботы...»	Д3	4	0	Вьешься, не зная заботы\nВ нашем убогом краю.\nБелая бабочка!  Кто ты?\nТайну открой мне свою.
